course_id,course_tag,course_name,credit_hours
1,ENGL 110C,English Composition,3
2,MATH 211,Calculus I,4
3,MATH 163,Precalculus II,3
4,MATH 162M,Precalculus I,3
5,MATH 102M,College Algebra,3
6,MATH 103M,College Algebra with Supplemental Instruction,3
7,MATH 100,The Math Cooperative,1
8,MATH 166,Precalculus I and II,4
9,CS 151,Introduction to Programming with Java,4
10,CS 153,Introduction to Programming with Python,4
11,ENGL 211C,"Writing, Rhetoric, and Research",3
12,ENGL 231C,"Writing, Rhetoric, and Research: Special Topics",3
13,MATH 212,Calculus II,4
14,CS 170,Introduction to Computer Architecture I,3
15,CS 150,Introduction to Programming with C++,4
16,ENGN 150,Computer Programming for Engineering Problem Solving,4
17,CS 251,Programming with Java,4
18,CS 252,Introduction to Unix for Programmers,1
19,IT 205,Introduction to Object-Oriented Programming,3
20,MATH 316,Introductory Linear Algebra,3
21,CS 270,Introduction to Computer Architecture II,3
22,CS 330,Object-Oriented Design and Programming,3
23,CS 253,Transfer Credit for Programming with Python,4
24,CS 250,Programming with C++,4
25,COMM 101R,Public Speaking,3
26,PHIL 160R,Raising Moral Issues in STEM,3
27,STAT 330,An Introduction to Probability and Statistics,3
28,CS 260,C++ for Programmers,1
29,CS 361,Data Structures and Algorithms,3
30,CS 261,Java for Programmers,1
31,CS 121G,Introduction to Information Literacy and Research for Scientists,3
32,CS 202G,Information Literacy for Cybersecurity,3
33,CS 315,Computer Science Undergraduate Colloquium,1
34,CS 355,Principles of Programming Languages,3
35,CS 381,Introduction to Discrete Structures,3
36,CS 350,Introduction to Software Engineering,3
37,CS 390,Introduction to Theoretical Computer Science,3
38,CS 450,Database Concepts,3
39,CS 418,Web Programming,3
40,CS 312,Internet Concepts,3
41,CS 410,Professional Workforce Development I,3
42,CS 417,Computational Methods and Software,3
43,CS 411W,Professional Workforce Development II,3
44,ENGL 221C,"Introduction to Writing in Business, Education and Social Sciences",3
45,CS 471,Operating Systems,3
46,ECE 346,Microcontrollers,3
47,ECE 241,Fundamentals of Computer Engineering,4
48,ENGN 122,Computer Programming for Engineering,4
49,ECE 443,Computer Architecture,3
50,ECE 342,Field Programmable Gate Arrays Design Laboratory,2
51,ECE 341,Digital System Design,3
