prereq_set_num,prereq_id
1,1
2,4
3,9
4,5
5,6
6,7
7,1
8,8
9,1
10,6
11,7
12,5
13,5
14,2
15,2
16,3
17,5
17,16
18,5
18,10
19,5
19,11
20,5
20,17
21,5
22,4
23,9
24,4
24,16
25,4
25,10
26,4
26,11
27,4
27,17
28,16
29,10
30,11
31,17
32,20
33,1
34,14
35,15
36,19
36,25
37,19
37,18
38,19
38,24
39,1
40,4
40,16
41,4
41,17
42,1
43,1
44,3
45,18
46,24
47,19
47,3
47,18
48,19
48,3
48,31
49,25
50,24
51,1
52,2
53,16
54,10
55,11
56,17
57,19
57,25
58,19
58,18
59,19
59,24
60,4
60,16
61,4
61,10
62,4
62,11
63,4
63,17
64,19
64,23
65,19
65,30
66,36
66,25
67,36
67,18
68,36
68,24
69,19
69,36
69,23
70,19
70,36
70,30
71,41
71,23
72,19
73,23
74,30
75,21
75,25
76,21
76,18
77,21
77,24
78,23
78,37
78,42
78,12
79,23
79,37
79,42
79,45
80,23
80,37
80,42
80,13
81,2
82,2
83,17
83,47
84,17
84,50
85,17
85,30
85,15
86,16
86,47
87,16
87,50
88,16
88,30
88,15
89,29
89,47
90,29
90,50
91,29
91,30
91,15
92,48
93,16
94,17
95,49
96,3
97,4
98,9
99,47
99,51
100,52
100,47
101,48
